Unnamed: 0,Sentence,Abbreviation,title,author_sur,author_init,vol,publ_year,publ,editn,filename,Score
512,"Empire in our sense was alien to the instincts of the Greek race; but Miletus was for centuries recognised as the foremost member of a great commercial and political league, the political character of the league becoming more defined, as first the Lydian and then the Persian monarchy became an aggressive neighbour on its borders.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
535,"That he did not mean Water, in the ordinary prosaic sense, to be identical with this, is suggested by some [10] other sayings of his.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
575,"Such a conception, however, by its absolute emptiness of content, does not afford any means in itself of progression; somehow and somewhere a principle of movement, of development, of concrete reality, must be found or assumed, to link this ultimate abstraction of existence to the multifarious phenomena {12} of existence as known.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
577,"Before passing, however, to these successors of Anaximander, some opinions of his which we have not perhaps the means of satisfactorily correlating with his general conception, but which are not without their individual interest, may here be noted.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
597,"The breath also, whose very name to the ancients implied an identity with the life or soul, was nothing but air; and the identification of Air with Life supplied just that principle of productiveness and movement, which was felt [20] to be necessary in the primal element of being.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
698,On the other hand this union implied a certain loss or degradation.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
762,"In all this Parmenides was not contradicting such observed facts as generation, or motion, or life, or death; he was talking of a world which has nothing to do with observation; he was endeavouring to grasp what was assumed or necessarily implied as a prior condition of observation, or of a world to observe.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
767,"So far then as Parmenides and his school kept a firm grip on this other-world aspect of nature as implied even in the simple word _is_, or _be_, so far they did good service in the process of the world's thought.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
814,"The secret of his method was what Aristotle calls Dichotomy--that is, he put side by side two contradictory propositions with respect to any particular supposed real thing in experience, and then proceeded to show that both these contradictories alike imply what is {44} [105] inconceivable.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
833,"The whole modern sensational or experiential school, who derive our 'abstract ideas,' as they are called, from 'phenomena' or 'sensation,' manifest the same impatience of any analysis of what they mean by phenomena or sensation, as no doubt Zeno's opponents manifested of his analyses.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
856,"Hence the first {48} defined the One as limited, the second declared it to be unlimited.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
884,Nothing can be stronger than reality.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1066,"He himself refers to his travels and studies thus: ""Above all the men of my time I travelled farthest, and extended my inquiries to places the most distant.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1075,What Democritus hoped to get by this double or correlative system was a means of accounting for or conceiving of _change_ in nature.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1142,"In the word Sophist there was indeed latent the idea which subsequently attached to it, but as first used it seems to have implied this only, that _skill_ was the object of the teaching rather than _truth_; the new teachers professed themselves 'practical men,' not mere theorists.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
1190,"All which implies that men do judge of one another's impressions, and think some wise and others foolish.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
1216,And that what a man thinks is not identical with what is can be {94} shown from the fact that thinking does not affect the facts.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1250,But its strength lay latent in an implied denial only of what was merely traditional; it denied the finality of purely Greek preconceptions; it was laying the foundations of a broader humanity.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
1284,"This was the irony of Socrates, the eternal _questioning_, which in time came to mean in people's minds what the word does now.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1292,"And thus Aristotle, with his technical and systematising intellect, attributes two main innovations in philosophy to Socrates; the _Inductive_ process of reasoning, and the establishing of _General Ideas_ or Definitions upon or through this process.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1295,"He was the pioneer of Induction rather than its inventor; he created, so to speak, the raw material for a theory of induction and definition; he knew and cared nothing about such theories himself.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1296,"A story which may or may not be true in fact is put in Socrates' mouth by Plato, as to the cause which first started him on his ""search for definitions.""",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1311,"What is more to {109} the purpose for us is to ascertain how far his search for definitions was successful; how far he was able to   Take arms against a sea of troubles   And by opposing end them; how far, in short, he was able to evolve a law, a universal principle, out of the confused babel of common life and thought and speech, strong enough and wide enough on which to build a new order for this world, a new hope for the world beyond.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1326,"Is not this what we mean by the Divine?""",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1417,"Let us note that throughout he is in search of a _definition_, but that as soon as any attempt is made to define or classify any particular type of action as just or unjust, _special circumstances_ are suggested which overturn the classification.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1418,"Let us note further that while the immediate result is apparently only to confuse, the remoter but more permanent result is to raise a suspicion of any hard and fast definitions, and to suggest that there is something deeper in life than language is adequate to express, a 'law in the members,' a living principle for good, which transcends forms and maxims, and which alone gives real value to acts.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1425,"The Socratic answer would be that it is all three, and that all three mean ultimately the same thing.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1427,"It is not a matter for verbal definition but for vital realisation; the true morality is that which _works_; the ideally desirable, is ultimately the only possible, course of action, for all violations of it are ultimately suicidal.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1429,"When we consider this strange doctrine in relation to the instances given,--the general with his army, the father with his son, the prudent friend with his friend in desperate straits,--we see that what is meant is that 'sin' in the real sense is not to be measured or defined by conformity or otherwise to some formal standard, at least in the case of those who _know_, that is, in the case of men who have realised goodness in its true nature in {122} their characters and lives.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1436,"There are critical moments when rules fail, when, in fact, obedience to rule would mean disobedience to that higher law, of which rules and formulae are at best only an adumbration.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1451,"Philosophy, in fact, was to Aristippus a method of social culture, a means of making the best of life as he found it.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1457,"[206] As we have already said, this school was _incompletely_ Socratic, inasmuch as philosophy was not an end in itself, knowledge whether of oneself or of other matters had no intrinsic interest for them; philosophy was only a means towards pleasurable living, enabling them so to analyse and classify the several experiences of life as to render a theory of satisfactory [207] existence possible.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1458,"With them first came into prominence a phrase which held a large place in all subsequent Greek philosophy, the _End_ of existence, by which was meant that which summed up the good in existence, that which made life worth living, that which was good and desirable in and for itself, and not merely as a means to something else.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1462,"Nor was its perfection qualified by any question of the means by which it was procured; the moment's pleasure was pleasurable, whatever men might say as to the manner of its [208] procuring.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1522,Definitions and abstractions and classifications led to no good.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1552,"We may take first a certain number of comparatively short dialogues, which are strongly Socratic in the following respects: _first_, they each seek a definition of some particular virtue or quality; _second_, each suggests some relation between it and knowledge; _third_, each leaves the answer somewhat open, treating the matter suggestively rather than dogmatically.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1564,"For what is implied in the word 'recollection,' but the departure of knowledge, which is ever being forgotten and is renewed and preserved by recollection, and appears to be the same although in reality new, according to that law of succession by which all mortal things are preserved, not absolutely the same, but by substitution, the old worn-out mortality leaving another new and similar existence behind--unlike the divine, which is always the same and not another?",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
1588,"So that if a virtuous soul have but a little comeliness, he will be content to love and tend him, and will search out and bring to the birth thoughts which may improve the young, until he is compelled to contemplate and see the beauty of institutions and laws, and to understand that the beauty of them all is of one family, and that personal beauty is a trifle; and after laws and institutions he will go on to the sciences, that he may see their beauty, being not like a servant in love with the beauty of one youth or man or {141} institution, himself a slave mean and narrow-minded, but drawing towards and contemplating the vast sea of beauty, he will create many fair and noble thoughts and notions in boundless love of wisdom; until on that shore he grows and waxes strong, and at last the vision is revealed to him of a single science, which is the science of beauty everywhere.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1613,"""Then may we not say,"" he continues, ""that if, as we are always repeating, there is an absolute beauty and goodness and other similar ideas or essences, and to this standard, which is now discovered to have existed in our former state, we refer all our sensations, and with this compare them--assuming these ideas to have a prior existence, then our souls must have had a prior existence, but if not, not?",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1701,"In the process of answering these questions Plato lays down rules for true definition, and establishes classifications which had an immense influence on his successor Aristotle, but which need not be further referred to here.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1737,"Definition and division, the nature and principle of classification, the theory of predication, the processes of induction and deduction, the classification and criticism of fallacies,--all these are to be found in them.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1756,"For in early youth he became a student of Cratylus and of the school of Heraclitus, and accepted from them the view that the objects of sense are in eternal flux, and that of these, therefore, there can be no absolute knowledge.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1758,"But in his ethical inquiries his search was ever for universals, and he was the first to set his mind to the discovery of definitions.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1779,[258] That which Plato here calls 'What Is' he elsewhere calls 'The Limiting or Defining'; the 'Other' he calls 'The Unlimited or Undefined.',ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1813,"[281] To this end a careful civic education is necessary, _first_, because to _know_ what is for the general good is difficult, for we have to learn not only in general but in detail that even the individual good can be secured only through the general; and _second_, because few, if any, are capable of seeking the general good, even if they know it, without the guidance of discipline and the restraints of law.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1911,"On the other side they are wrong, because by the idea or form which they maintain to be separate they mean the one attribute predicable of many things.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
1915,"Plato's mistake was in confusing the mere 'this,' which is the conceived starting-point of any sensation, but which, like a mathematical point, has nothing which can be said about it, with individual objects as they exist and are known in all the manifold and, in fact, infinite relations of reality.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1928,"And thus the word 'Matter' is applied by Aristotle to the highest genus, as the relatively indefinite compared with the more fully defined species included under it; it is also applied by him to the individual object, in so far as that object contains qualities not yet fully brought into predication.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
1936,This Life is at the same time the condition on which alone each and every one of the functions constituting it can be performed.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
1938,"Life then is an _Entelechy_, as Aristotle calls it, by which he means the realisation in unity of the total activities exhibited in the members of the living organism.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2008,"Clearly for our definition of the chief good we must take the moral life in its full actual realisation, since this is superior to the other.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2014,"[340] Aristotle then proceeds to a definition of the 'specific excellence' or virtue of man, which is to be the standard by which we decide how far he has fully and perfectly realised the possibilities of his being.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2020,"Pointing out that in everything quantitative there are two extremes conceivable, and a _mean_ or average between them, he proceeds to define virtue as a mean between two extremes, a mean, however, having relation to no mere numerical standard, but having reference _to us_.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2021,"In this last {196} qualification he perhaps saves his definition from its mechanical turn, while he leaves himself scope for much curious and ingenious observation on the several virtues regarded as means between two extremes.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2022,"He further endeavours to save it by adding, that it is ""defined by reason, and as the wise man would define it.""",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2075,"From this it follows that there must be a process of coming into being, because none of these elements can be eternal, {202} but each affects, and is affected by each, and they are mutually destructive.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
2076,"Now it is not to be argued that anything which can be moved can be eternal, except in the case of that which by its own nature has eternal motion.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
2090,"""Among substances as above defined those are most truly such which we call _bodily objects_, and among these most especially objects which are the products of nature, inasmuch as all other bodies must be derived from them.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2091,"Now among such natural objects some are possessed of life, some are not; by _life_ I mean a process of spontaneous nourishment, growth, and decay.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2093,"It is, in fact, a bodily substance defined in virtue of its having life.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2094,"Between the living body thus defined and the Soul or Vital principle, a marked distinction must be drawn.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2096,And what we mean by the soul is just this substance in the sense of the _form_ or specific character that subsists in the natural body which is _potentially_ living.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2097,"In other words, the Soul is substance as _realisation_, only, however, of such a body as has just been defined.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2099,"For both sleep and waking depend on the Soul or Life being there, but of these waking only can be said to correspond with the active form of knowledge; sleep is rather to be compared with the state of having without being immediately conscious that we have.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
2102,"""To every form of organic structure this definition applies, for even the parts of plants are organs, although very simple ones; thus the outer leaf is a protection to the pericarp, and the pericarp to the fruit.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2104,"Putting our definition, then, into a form applicable to every stage of the Vital principle, we shall say that _The Soul is the earliest realisation of a natural body having organisation_.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2108,"""The general definition of the Soul or Vital principle above given may be further explained as follows.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2118,"For as any one sense stands related to its organ, so does the vital sense in general to the whole sensitive organism as such, always remembering that we do not mean a dead body, but one which really has in it potential life, as the seed or fruit has.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2121,"Now just as the eye may mean both the actual organ or pupil, and also the function of sight, so also the living creature means both the body and the soul.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2169,[369] Philosophy Epicurus defined as a process of thought and reasoning tending to the realisation of happiness.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2180,"He had no theory of definition, or division, or ratiocination, or refutation, or explication; on all these matters Epicurus was, as Cicero said, 'naked and unarmed.'",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2183,"He starts from the fundamental proposition that 'nothing can be produced from nothing, nothing can really perish.'",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
2243,Anger and joy are alike alien to their nature; for all such feelings imply a lack of strength.,ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,3
2249,"Further he denies that pleasure exists only in activity, it exists equally in rest and quiet; in short, he places more emphasis in his definition on the absence of pain or disturbance, than on the presence of positive pleasure.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2259,"Or as Metrodorus, Epicurus' disciple, defined the matter: ""A man is happy when his body is in good case, and he has good hope that it will continue so.""",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2264,"Moreover there are many pleasures keen enough at the time, which are by no means pleasant in the remembering.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2330,"The peculiarity of their physics, which we shall have to refer to later on, namely, the denial of the existence of anything not material, implied that in some way there was a material action of the external object on the structure of the perceiving mind (itself also material).",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2341,"In fact a thought may be defined as a kind of mental image, such as a rational animal alone is capable of having.""",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2363,"Disease and other natural evils, when looked at in the light of their effects, are means not of evil but of good; there is throughout the universe a balance and interrelation of good and evil.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,2
2367,"[408] Nothing incorporeal, they maintained, can be affected by or affect that which is corporeal; body alone can affect body.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,4
2371,"[413] Coming finally to the Ethics of the Stoic philosophy, we find for the chief end of life this definition, 'A life consistent with itself,' or, as it was otherwise expressed, 'A life consistent with Nature.'",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
2372,"The two definitions are really identical; for the law of nature is the law of our nature, and the reason in our being the reason which also is in God, the supreme Ruler of the universe.",ashogp_0,A Short History of Greek Philosophy,Marshall,J,1,1891,PERCIVAL AND CO.,1,/home/ciocolab/Downloads/240121 Trento python project/txt_csv/pg20500.txt,1
